split,features,n,n_folds,auroc,auroc_lo,auroc_hi,mae,rmse,bias,loa_lower,loa_upper,sensitivity,specificity,spec_at_90_sens,prevalence
naive_random,demographics,710,5,0.567781864362053,0.5255633893888559,0.6091567434664933,1.8047578539271838,2.2832705877468475,0.0021796663131569186,-4.476183534692001,4.480542867318314,0.8938679245283019,0.13986013986013987,0.13286713286713292,0.5971830985915493
naive_random,colour,710,5,0.8825949993402824,0.8582596911802735,0.9064743719321096,1.4573692620821161,1.9263813842127349,-0.08175660007655589,-3.856721547681654,3.693208347528542,0.9056603773584906,0.5979020979020979,0.618881118881119,0.5971830985915493
naive_random,colour+demographics,710,5,0.8627457448212166,0.8353861550720171,0.8891056325117428,1.464216202963454,1.9314483912927034,-0.09254051083831574,-3.8764973887245167,3.6914163670478852,0.8985849056603774,0.5734265734265734,0.5734265734265734,0.5971830985915493
dedup_random,demographics,498,5,0.5320422819333495,0.4797213335275329,0.5839161634709454,1.7761902910090692,2.121128462810593,-0.020145486372571617,-4.181549980008995,4.1412590072638515,0.7490196078431373,0.24691358024691357,0.1152263374485597,0.5120481927710844
dedup_random,colour,498,5,0.7962882272250464,0.757530454467414,0.8337873288046238,1.4428912154831297,1.846624332037665,-0.003934415129907061,-3.6269492839603927,3.6190804537005787,0.8,0.6172839506172839,0.4526748971193416,0.5120481927710844
dedup_random,colour+demographics,498,5,0.7833131606552086,0.7422699757654784,0.8246621557253349,1.4598309982178814,1.8409405803987455,-0.03158125930218129,-3.6429214837567363,3.579758965152374,0.8313725490196079,0.5720164609053497,0.4032921810699589,0.5120481927710844
dedup_site,demographics,498,5,0.5547486484305657,0.5035231707595679,0.6055647856584971,1.7532843647753191,2.1053960180877413,-0.007826364818788071,-4.138523419435302,4.122870689797725,0.7333333333333333,0.3292181069958848,0.13991769547325106,0.5120481927710844
dedup_site,colour,498,5,0.8092471556523844,0.7717381963403034,0.8473629144161824,1.4205685038947458,1.838822851128969,0.023119514512542304,-3.5843121338686132,3.6305511628936977,0.8274509803921568,0.6337448559670782,0.47736625514403297,0.5120481927710844
dedup_site,colour+demographics,498,5,0.7948680706850642,0.7565604213382818,0.833148779390494,1.4402647253784684,1.8436473927221504,0.014291357872953386,-3.6027823889630266,3.6313651047089337,0.8313725490196079,0.6008230452674898,0.47736625514403297,0.5120481927710844
perceptual_site,demographics,479,5,0.5646578782172003,0.513905454418637,0.6179668066769689,1.7293363757194609,2.075357025600741,-0.013446473556023072,-4.08531346779989,4.058420520687844,0.6694915254237288,0.3950617283950617,0.14814814814814814,0.49269311064718163
perceptual_site,colour,479,5,0.7796610169491525,0.7365771782783308,0.8180408489772831,1.462672475567911,1.871938413522634,0.0268928031912218,-3.645563309408575,3.699348915791018,0.7754237288135594,0.6296296296296297,0.36213991769547327,0.49269311064718163
perceptual_site,colour+demographics,479,5,0.7685708307177234,0.724889752640407,0.808035260716707,1.4783034845784793,1.8655010226558446,0.034182250230150826,-3.6254079229148397,3.6937724233751412,0.75,0.6172839506172839,0.39094650205761317,0.49269311064718163
